String,Label
@bilsky bang billy diet lah biar cakep,tidak bully
"Udah sepi job nyolek @krisshatta07 ,, klihatan dungunya jadi laki 😝😝😝😝😝😝",bullying
Ajak duel si kris berani kagak?,tidak bully
Sudah bang Billy sama Della saja di gas bang,tidak bully
Bang billy yg dulu sudah kembali. Alhamdulillah,tidak bully
"@hanifpoz16 lebih baik dia ga kyk idola lo banci bisanya sindir2an, laki itu bulet bkn lemes kyk si bily,,,, blm dipenjara aja dh koar2 dasar buduh,, wkwkwkk kasian mw gmn jg ttp idola lo itu pebinor😂",bullying
"@lila6822 yg salah bukan lakinya mba, kalo perempuannya kekeh bilang egk, dengan segala cara, yah laki laki udah terlanjur salah belain dong, nah kalo hilda jujur dr awal kan ga mungkin billy kekeuh belain hilda, yg salah tu perempuan, harusnya dah tau di bersuami jujur dong biar ga jadi begini",tidak bully
"Semangat truss kak @bilsky16Semoga ke depanya menemukan perempuan yg sholeh, saranku kak pandai2 lha dekatin perempuan yg baik, kadang banyak perempuan ckrg baik di depan tpi di blakang menusuk😊😘😘😍😍",tidak bully
"Yang Lagi merasa menang,sedang angkuh merasa dia benar, (sy cuma comen aja y, bukan haters ataupun fans siapapun,)tp ttp tdk bisa elegant",tidak bully
@lila6822 netijen kan gk tau semua cerita awalnya gimana.. jangan sampek deh salah prasangka,tidak bully
@mel_melanika takdir nya kl mrk pernah nikah siri n tinggal 1 rmh... msh krg jelas emang bukti2 nya? 😂😂 tuh dtgin tetangganya,tidak bully
"@lila6822 maklum cinta buta,mba niki ikut UP masalah bang billy biar semua tambah UP karna apa???? 😂",tidak bully
@kingfrozz setuju biar bang @bilsky16 cari yg lain saja ... bikin rusuh tuch cewek banyak bikin masalah ngga cocok sama bang billy cewek pembohong gitu,tidak bully
@lila6822 kyk ny anda gk berhak bilang @bilsky16 berslah kalo permpuan nya kekeh smpe skrg gk ngaku ud nikah mba......kan tau sndiri bili tertutp mata dan hati nya krna cinta ya dya percya2 aja lah sma wedoj ny,tidak bully
"Mantul bg billy,.",tidak bully
@lila6822 baru aja nonton insert pasal berlapis loh kris hatta termasuk pemalsuan buku nikah nah lohhhh 😂😂😂😂 palsu toh buku nikah trus istri siapa yg di rebut,tidak bully
@lila6822 tinggal seatap kalo blm nikah juga bnyak kok di dunia ini jadi jangan selalu sepihak dg masalh ini .... Intinya tinggal orangnya yg ngejalanin sistem pacarannya gimana??? hmmm,tidak bully
@lila6822 kalau di hukum mah bukti yg di perlukan masalah di rebut atau ga kita netizen ga ada yg tau cerita sebenarmya 😂😂😂,tidak bully
"@meynoelchan_ lebih parah dong satu atap belum menikah, namanya kumpul kebo kayak perek,, lo mah kl ngomong kyk org bodoh, org ga nikah satu atap dibelain,, ga pernah dpt didikan yah SMA kyk si idah SMA sibilly",bullying
"@yoinawok lagian kh itu laki lakik banget krn sebetulnya laki itu emg adu jotos bukan nyinyir sana sini,, nah si Billy bisanya nyinyir sindir2 dibelakang wkwkwkk, beda kelas nya sih banci SMA laki sejati,, lagian kh masuk penjara beda kasus SMA si banci Billy hahaahaha kasus SMA bili msh berlanjut",bullying
"Banyak 2 beesoa ,berzikir berselawat agar g .mengeluarkan kata2 yg biisa meeugikan bang billy",tidak bully
@nika_zanneta banget say.. udah tau salah g mau ngaku salah.. malah menjarain yg g salah.. tp kris msh di tahan aja blm ada keputusan,tidak bully
"@lila6822 iyaa .. banget .. tapi , aku Yakin Pasti Karma akan ada.",tidak bully
@nika_zanneta kita liat aja nanti.. selalu doakan yg baik buat kh org yg sdh terdzholimi,tidak bully
"@lila6822,@madyanii77 maf ya yg nama nya udh tinggal serumah apalagi udh 2 thn an pasti udh nikah kl di agama islam,ga tau deh ya agama nya @hvkhildavitriakhan apa?? Lagipula kl seandai nya ga nikah pun tinggal satu atap apa ya ga di grebek orng sekomplek,masa iya Pak Rt nya diem aja,kan annehh???",tidak bully
Akhirnya buah kesabaran bang billy...semangat bang billy...ALLOH tdk pernah tidur...sabar memanf berat tapi sabar ikhlas akan indah pada waktunya👍😍,tidak bully
Aduh gmn ya . Menangnya skrg si pas udah putus . Jadi seneng seneng sedih gitu ya bang bill ? Nafkahin keluarga aja bang repot urusannya sm polisi mah . Yg anteng anteng aja hidup udah . Cari yg ga bermasalah mending aja sm yg lain cerita sm yg ono udah cacat soalnya . Kata tetangga aja bikin ga betah bertetangga gmn kata netizen yg bang bill bertaham grgr netizen . Bang bill cari cwe yg cantik nikah punya anak hidup berubah langsung deh jadi really wonderfull grgr anak 😁,tidak bully
Bacot ah,bullying
"Bang.kembalilah spt bily yg dulu.yg pendiam,yg g suka nyindir2,palagi igs2 yg gak penting.yg g sk bicara kasar k org lain,yg g sk menyepelekan org lain.kt sk km yg dulu bang.yg agak tertu2p sm khdpn pribadi.biarlah org jahatin km.keep calm bang.fokus karir aja.gapai mimpi km.tolong bang,raih kesuksesan km kmbli.urusan cewek jgn terlalu dipikirin.berdoa trs.suatu saat nnti pst km akan menemukan cewek sholehah n penyabar yg bnr2 bs membimbing km ke arah yg lbh baik",tidak bully
@hery_anti838 kt kan cm menyarankan fokus karir demi kebaikan bily sndri.terlepas diterima atau nggak saran dr kt terserah bily.km kira aku jg suka bily yg sk sindir2 spt skrg ini.palagi liat igsnya kyk gt???no.ju2r aku kurang respect.makanya aku coment ksh saran spt ini.sayang bgt.krn dulu bily itu baik n pendiam makanya dulu aq ngefans.sedih aq lht bily yg skrg.kt cm bs berdoa moga bily bs kmbali spt bily yg dulu,tidak bully
Bang @bilsky16 ada kabar gembira ya bang ? Musuh bang billy udah dijemput paksa tuh sm om polisi😁,tidak bully
Bang billy skuter kpnasan tuuhh 🔥,tidak bully
Krishhatta dipenjara. Billy pasti balikan lg sama hilda. Karna billy merasa bersalah dan kasian sama hilda. Abis itu uang billy habis lg ya kan..,tidak bully
@lila6822 si Billy mah alih2 jadi superhero pahlawan kesiangan biar bisa rebut hati si perempuan. PENGEN BALIKAN wkwkwkkkkk ngimpiiiii ngacaa billy,bullying
Bang @bilsky16 Nyadar gak Sih... Gara2 Kamu Pacaran sama @hvkhildavitriakhan dan berteman sama @nikitamirzanimawardi_17 kamu sll berurusan Sama Polisi... Mana Bang Billy yang Dulu yang Baik dan Jauh dari Polisi... itu Akibatnya kamu Pacaran sama Hilda dan Berteman sama Nikita Mirzani yg Makanan nya penjara trs... Tidak ada prestasi nya,bullying
Selamat yah bang atas kemenangan nyaaa 💙,tidak bully
Bang foto bersama hilda knpa ga di apus2? @bilsky16,tidak bully
"@hanifpoz16 bukan fitnah, emang billy nya aja gatau diri gatau malu. Biar kata nikah sirih juga tetep aja hilda tetep istri. Lalu dengan billy apa kabar? Billy memang siapa? Dia pendatang hahahah",bullying
"Semangat, bangkit lagi bg bily, mungkin allah dah tunjukan, meskipun bg bily di fitnah, di dutuduh adek nya jadi tukang parkir, kehabisan duit la....,semua sudah terjawab bg billy, allah maha adil🙏🙏",tidak bully
"@chamom1le___ setujuuu, udah salah dimata hukum, masih jugak dibela, macam2 fitnah an ke bily, di tuduh adek nya tukang parkir la, kehabisan uang la, tpi bily ttp sabar semangat bg bily allah bersama mu🙏🙏",tidak bully
@bilsky16 siapa sih pacar bang billy kasih unjuk kali,tidak bully
"@bilsky16 bil,klo lo dh pnya pasangn yg baru tolong dibuang poto mantan lo bil,masa cwe yg dh ninggalin lo masih lo simpn,kn kasian cwe yg akn dekt sm lo jd ragu di sangka lo g bisa move on",tidak bully
"@hery_anti838 bukan sepi karena memang dia blm mau terima tawaran yg live, d p3h kan dua yg cuti, hargailah putusan seseorang, mungkin dia mau istirahat dulu dari kejaran wartawan.",tidak bully
Bg Billy bikin vlog dong lama bgt gak apload vlog @bilsky16,tidak bully
"Bil, cobain dulu pepek hilda baru tau rasanya. Jgn seneng2 duluk, ntar seluas samudera baru nyahok!! 🤣 kena tipu!",bullying
"@a_b_i_333 sudah tidak ada hubungan lagi, sudah jalan masing masing, mungkin sekarang hanya sekedar jadi teman.",tidak bully
Langgeng ya bang sama Elvia Cerolline 🙏🙏🙏,tidak bully
Bg Billy kpn sih syuting @p3htranstv lgi udah kangen liat bg Billy live ditv masa cuma Sabtu Minggu doang liat bg @bilsky16,tidak bully
Bang billy kpn jd host p3h lg kangen sm bg billy gk seruuu gk ada bg bill,tidak bully
"Kenapa gak sama Della aja bang, kan Della nya mau bang kurang cakep apa della",tidak bully
Ganteng deh,tidak bully
"@nazrajayanthy simpati aja lo sana,liat kasus nya nambah lagi sedikit demi sedikit kelakuanx terbongkar sendri",tidak bully
Aq nge fans lg sama bang bily .smjak udah putus sama sih itu tuh 😁 . . Foto nyh jg ud di hapus dr ig bang bily .. 👍👍👍 semoga ketemu jodoh yg lebh baik ya bang ..,tidak bully
Semangat bil... Bismillah Allah itu baik💛,tidak bully
Yg sabar ya bang billy ... Semangat 😘,tidak bully
"@profesordrum setiap orang harus mendoakan yg terbaik, doa yg diucapkan untuk orang lain pun doa untuk diri kita sendiri",tidak bully
terlalu cantikkk😍😍😍😍,tidak bully
Jujur ya hilda tu asli cantik..mo mukax lebar lancip segi empat bulet tetep aja cantik.mo boros wajah mo irit ttp cantik jstru yg klian2 yg mnghina ini yg gaj mnarik!!,tidak bully
Beda bgt sama yang ditv,tidak bully
Klo gk pke soflen jlk x dya,tidak bully
Ketika wajah tak sesuai dg umur 😂,tidak bully
"Gue pernah liat hilda, aslinya gede banget, gatau sih doi pake aplikasi apaan pipi sama dagu nya bisa tirus gitu",bullying
Cantik sih tp plis lah akuin aja kalo emang udh pernah nikah dan punya suami biar aura cantiknya makin keluar!,bullying
Subhanalah paingan bang bily jeung @krishattaluiseveinro ketagihan.. I love u juga hilda aku siap membahagiakan bathin mu aja..,tidak bully
kaka cntikku,tidak bully
Cantik banget mbak Hilda.. Smga cantik luar dalam ya mbk.. 😊,tidak bully
Mukanya ko bs tirus ya ? Klo di tv lebar banget,tidak bully
@noonashoppku pake kamera jahat😂,tidak bully
The power of kamera jahara🤣,tidak bully
Anak turis yg tertinggal 😂,tidak bully
Orang yang sudah pernah dipakai sama orang yang belum terpakai itu beda lho. Hihihihihi.,bullying
Yg berkomentar negatif sepertinya tidak punya etika..kan pada sekolah semua dan belajar agama yg baik bukan mencaci dengan cibiiran kebencian...belajar menghargai kehidupan pribadi orang,tidak bully
Ya allah senyumnya itu loh,tidak bully
"Gw pengen tirus kaya ini org pake cr apasih, kasih tau dong aplikasinya",tidak bully
Cewek katro dri matanya sampai ujung kaki tukang ngebohong..tobat tobat sebelum terlambat @hvkhildavitriakhan 😠😂,bullying
@jenitakurnia aslinya emang cantik dan tinggi... Temanku pernah liat ... Bule mukanya dan putih banget...,tidak bully
"Jaga ucapan sama lisan mba..belom tentu mba"" nya semua udh jadi penghuni surga..setiap perkataan kita yg negatif mba fikir malaikat gak catet..sayang kan amal yg udh kita punya gara"" mba"" nya",tidak bully
Cantik sekali hilda...,tidak bully
Tirus banget mbaa pipinya? Pake aplikasi apa?,tidak bully
yg asli mukanya lebar kotak,bullying
Kalo di ig cantik banget. Beda sama di tv kak,tidak bully
Jijik,bullying
@noonashoppku di tv kok ga secantik di ig ya.hp nya apa dek hilda?aku mau juga dong 😃,tidak bully
@hvkhildavitriakhanABAIKAIN Haters yang gak penting....💋 Mereka hanya IRI dan ingin seperti kamu tapi tidak bisa💋,tidak bully
Gmn y g suka aja gt liatnya geseg walwpn g jlk.mntang2 punya bi2r yg perfect slalu kl fto bi2rny sok2 dijblehin.g slamanya kcantikan itu abadi,bullying
@diie_anggraini brati ctq nya @hvkhildavitriakhan G alami mba.mungkin kl g pk soflen jgn2 g secantik in.hati2 jangan keseringan pk softlens buat mnutupi kbusukan mu mba hilda,bullying
Suka banget sih kalian para haters nyiyirin hdup org lain . Kalo kalian gak suka sama seseorang ckup blok aja jangan buat komentar yang gak pantas buat di baca semua orang . Istigfar,tidak bully
Buruuuuuuuuuukkkk beneeeeeeeerrrr,bullying
Kris hatta nya aja yg lebai. Kalo udh move on mah gausah ngungkit2 masalah trs kali.,tidak bully
Di tv ko bulet kayak bola...mukaya...udah kayak tante2 punya anak 2 ..padahal kan blm nikah katanya😃😃😃,bullying
@novytha_abl wagelaseh dibandingin nia ramadhani mah jauh gelaaahh 😂,tidak bully
Mak lampir,bullying
Ini cewek gk pernah tinggal pke lensa.mukak nya lebar yahh.😁😁😁😁,tidak bully
@tiya_lova iyah di tv wajahnya kotak n bulet,tidak bully
Kakak cantikkk❤️,tidak bully
Mbk cantik kok lebih cantik kalok anda jujur,tidak bully
Muka aslinya rahang nya lebar kayak kardus 😀😀,bullying
@wanita_kalimantan kalo dtv juga kaya emak2 bgt badanya,bullying
@whitasiregar gak suka aku sama dia wkwkwmkwk,bullying
Sok cantik,bullying
Y allah cantikk bangett ka.. semangat ka.. @bilsky16mendukungmu.. semoga cepet selesaiii masalahnya..,tidak bully
Mbak kok sekarang gendutan yah gk enak ajah gitu di tamba gaya rambut nya kurang cocok aja gitu sama embak. Mf yah embak sekedar ngasi Saran aja kok @hvkhildavitriakhan,tidak bully
Bikin tutorial make up,tidak bully
Cantik sekali,tidak bully
@hvkhildavitriakhan aslinya syemok mantap jiwa nih awewek 😍,tidak bully
"Kerjaaan kok pada nyiyirr , lihat diri kalian dulu bener gak sihh , gak usah nyiyirin orang kalau dirinya aja gak suci ora tenar salah , cantik salah , netijen betijen ngaca dulu dong ,",tidak bully
nertizen maha benar😂dengan segala kenyinyirannya😆🙈 akoohhh mau nyamil batu adja... sapa tau jadi bapao... ,tidak bully
"Memang nyebelin ni orang.disini Ada org mirip bgt kaya dia(hilda), muka sama klakuan mirip bgt suka bo'ong. Sure .",bullying
Apanya cantik. Bnyk polesan aslinya jlek..hati sm mukanya ttep jlek,bullying
gede mukanya ato badannya mba? Srius kepo nih 😂,bullying
Wouyyh netizen kbnykan komenin hdup orng mw ditv lebar asliny gmn gk ad urusan ny sm Xn.😩😩blom tntu Xn jg smpurna....hahhaa kaburrr ahhh,tidak bully
Ternyata semua gk bisa di bohongi ya.. Yg bnr emang pihak kris hatta,tidak bully
"Gua kagak yakin elu lahir tahun 95. Kok muka lu kayak 30+ ya? Kakak gua aja yg lahir tahun 93, masih kayak anak SMA. Lah ini, kayak ibu ibu.",bullying
ku baca komen atas sampai bawah kok g enak bgt ya ... kalau Hilda sendiri bagaimana ya kira2 klu baca komen,tidak bully
"@khairin_leonanda iy dtv beda bgt sm di IG ya , disini kurus, dtv gembrot",bullying
"Dulu gw suka bngt ma cewex ini,cntik bngt saya lihat,tpi lama klmaan lihat kelakuan nya ma suami nya aku gag respek lgi",bullying
"Udh liat aslinya, lebar bgtt sih, gede tinggi, tp koq d ig nya keliatan imut gitu, jauuhhh bgttt sm real ny",bullying
"@tiya_lova coba ketemu aslinya, aslinya emang cantik kok. Setau gw badan akan terlihat sedikit lebih gemuk kalo di tv(maaf kalo salah).",tidak bully
"Orang berhak memilih , kalian ngga usah ngatur hidup orang .! Itu hidup dia , dia bebas memilih mana yg terbaik buat hidup nya . Kalo memang dia salah itu urusan dia sama tuhan .! Kita manusia tidak ada yg sempurna .semua punya kesalahan dan masa lalu yg kelam .! Dan lihat lah diri kalian apa udah benar apa belum . ! Karna hidup itu perjuangan.#nyinyirjanganberlebihan .",tidak bully
Dadae mulus bnget,bullying
"@rafarha_ bntu doa aj mbak jgn bntu d komen krna yg komen bnyakan hetersnya,, mngkin mreka blom sdar kalo ap yg mreka ucapkan adlah doa untk diri mreka sndiri,",tidak bully
"tenaga pakistan kuyyy, tenaga bagai kuda😂pelet tempe",tidak bully
Di tv pipi nya lebar banget ia kalo di hp tirus banget kamera nya iya jahat banvet,bullying
"Efek cameranya gilaaaak, aslinya pernah gua liat kek seumur mak gua😂😂😂",tidak bully
Muka bokep 😀😀😀😀😁😁😁😁😁😁,bullying
"Biar gmn pun pose nya, ttp aja cantik 😍😍😍",tidak bully
Coba deh pake hijab ka.,tidak bully
Kok jijik ya... Astagfirullah,bullying
Kalau pake kotex tiap hari emng ga pernh shalat ya kak,tidak bully
Pantesan bily klepek2..mukanya binal asoy,bullying
Pansos kampungan,bullying
Alay,bullying
jijikkk bettt🔥,bullying
Mari mengasihani mereka bersama sama 😂😂😂,tidak bully
"Alhamdulillah jurnalrisa bisa berbagi rezeki sama kalian, kalo ga gitu kalian gamakan kan kasian wkwk",tidak bully
BACOT :),bullying
"Dia mah mau banyak yang subscribe jadi buat konten kayak gini,haha gak lucu budjang haha ngakak deh",tidak bully
Sok yes padahal no banget,bullying
SO SEMPURNA ANDA!,bullying
Wkwkwk ntaran juga kenak azab 😂,bullying
Makin lama makin jijik...pasangan Aneh,bullying
Teh @risa_saraswati datengin aja teh peter cs sm yg lainnya ke rmh mba dan mas ini. Mual bet liat mukanya:((,bullying
Mau tenar lagi???????????? Kasian banget ga ada kerjaan DASAR MANUSIA PERUKSAK CIPTAAN TUHAN! SI MUKA ANORGANIK YANG OTAKNYA BELUM DI KURAS SI MANUSIA JAMAN BATU!,bullying
Sampah,bullying
Jodoh adalah cerminan diri sendiri..Tukang bohong ya dapetnya tukang bohong lagi..cocooooook....😁,bullying
ilfeel bangettt mukanyaaa kyk gk prnh mandiii🤢,bullying
"ga butuh klarifikasi lo, emangnya lo siapa): suka banget ngetag2 teh risa tp gak di gubris.. kasian bgt sih:""(",tidak bully
Situ nge bacod mulu dari kemaren. asik nge tag teh @risa_saraswatipadahal gk di respon. Bego kok di pelihara,bullying
Kasian :( cape cape bikin vidio tp ga laku...,bullying
Anak anak lu juga sampah,bullying
"Ga cukup button dislike, kalo ada opsi jari tengah gue kasih itu paling cocok buat konten sampah dan cari duit dr hasil iri dengki",bullying
goblok anying sia,bullying
Lo berdua kg ush nunggu peter cs dateng karna mereka takut sama WANITA JELEK 😂,bullying
Bacot yaaaa:v,bullying
NGGA GUNA LU JD MANUSIA DIBUMI,bullying
"otaknya gak nyampe kali, maksa jadi content creator",bullying
"Berarti bikin konten itu gak dipikir dulu dong dampaknya gimana , yang penting viral ditonton banyak orang. Mau tenar gak segitunya kali!!!",bullying
Kek yang mau hidup selamanya aja ni orang :( semoga cepet dapet hidayah ya sebelum kalian mati,bullying
Ngurusin hidp org trs mbak mas nya ngk malu gitu,bullying
Mending chanel youtube @tim_jurnalrisa meski kata loo bohong tapi video yang bagus dan seru dari pada chanel youtube loooo jelek,bullying
Tolong buat kalian berdua jangan suka nyaro masalah sama teh Risa. Padahal teh @risa_saraswati itu gapernah nyari-nyari kesalahan kalian berdua 😖😔,tidak bully
Sirik dasar,bullying
"Maaf mb mz, apa anda tidak malu dgn keluarga anda masing2 dgn sikap anda menyinyir kehidupan keluarga org lain. Kalo anda diposisi mereka dan anda dijelek2an sama seperti anda menjelekkan mereka. Apakah anda terima? Karna orang ada batas sabarnya mb mz. Sungguh malu saya bila mempunyai keluarga macam anda. Sungguh menjijikkan. Terimakasih. Semoga sadar & insyaf.",tidak bully
"Kok belum ada vidio di YOUTOBE tentang sara wijayanto? Katanya segera di bikin tapi mana?,,gk berani yah??,,giliran atta halilintar komentarannya yang bagus bagus? Takut yah? Coba kalian liat gusy tentanng atta halilintar ngomennya bagus bagus,,jiji gw, @reyutami",bullying
Di kolom komentar ini membela jurnalisa semua yah??,tidak bully
Wanita jelek,bullying
"lu caper se indonesia,kurang duit apa gmn si?",bullying
Hahaha kasian pasangan ini sangat miriss,bullying
"Sayang kuota banget kepoin dia, berasa nyesel jiwa raga batinku wkwkwk, you know, you bawa bawa ulama, mba kalo ngejelekin orang lain dan ulama dibawa bawa, kebohonganmu sungguh berkali kali lipat dan masih bangga ketawa ketawa aja sama yang dilakuin.",bullying
"Otw jd kek ftv ftv azab wkwk ,tunggu tanggal main nya aja",tidak bully
Tau ni org2 kebanyakan tingkah cr sensasi aja..... Cr rezeki mah yg halal gag usah usil sm hidupnya orang.klo gag percaya sm indigo coba ya mulutnya tu diem ajah gag usah kbnyakan omong.,tidak bully
"bikin donasi yuk buat pasangan ini,karna mungkin ni pasangan pansos emang udh kekurangan duit dan vidio nya jarang trending , dan mungkin dia sirikk sama channel jurnalisa, dan gw jg binggung ni orang giliran di hate coment ntr ngomong nya netizen maha benar,kan goblok anjir, di hate coment gamau,tapi tingkah nya bloon, padahal udh tua,tp masih aja pansos caper se indo,ini lah kalo orang pas masih kecil gk dikasih asi tapi malah di kasih kuah pop mie,mecin nya tembus ke otak",bullying
Bajunya si laki sama kayak yg dipakai di PPH trans TV skrg.. Ga ganti2 ya? 😁,tidak bully
Males banget liat pasangan ini😂😂😂😂pertama w follow yakin deh abis ini w unfollow..harusnya tinggi tanpa menginjak mba mas😅😅,bullying
"Awas nanti siap2 mulut mu harimau mu. . Berakhir di dipenjara. . Dulu aja ktnya dikasih mobil mewah eh sekarang malah suka julidin orang pansos, soak lu @reyutami",bullying
REPORT RAME² KUY,bullying
Udh report aja YouTube SMA ig nya sekalian nek gue liat muka cwo aplgi cewe nya so kecakapan Lo percma nh org mu gmna juga kga bkln tobat klu udh dksh azab SMA Allah Bru ksian bngt c krna kga ada job nyri kerja haram nauzubillah,bullying
Pengen gua tampol pake telor,bullying
"HAHA MASIH AMATIRAN BIKIN LINK JUGA MASIH NOOB? pengen viral pngen naik adsense pngen banyak subs ya berkaryalah malah ngejelekin orang biar tenar biar viral biar pansos? HANYA ORANG BODOH YANG LAKUIN KYA GINI 👌 gapunta skil gapunya karya cuma bisa nyinyir orang, semua orang jyga bisa nyinyir. TOLOL AMAT JADI ORANG, NGOTAK LU!!",bullying
"Ini ni orang bikin konten cuma nyinyir orang cuma bhas sana sini ""ngga ada konten lain napa? Yg lebih berfaedah yg bisa membangun negri ini bukan dengan sebagai pemecah belah bangsa.",bullying
"ngakak,,numpang tenar doang,,",bullying
"Nyari duit emang susah, tp caranya gk gini juga, keliatan begonya wkwk",bullying
KASIAAAAAN DEH LU GA DI GUBRIS SAMA PIHAK @risa_saraswatiBEDA KELAS SHAYAAANG KALO MAU CARI MASALAH. @risa_saraswati & @tim_jurnalrisa OTAK NYA LEBIH BERKUALITAS DARI PADA LU BEDUA.,bullying
Gg bermutuuuu bgt uweee okeh sip thank you bhaayyyu😂 gg ada faedah ny ini manusia,bullying
"gimana ya rasanya jadi orangtua mereka, malu kali yak haha nyesel kali ngelahirin binatang macam itu",bullying
Cari endorsan obat pembesar penghasilan coba mbaknya 😂😂,tidak bully
"Emang dasar nih orang bikin kontek kagak ada faedahnya semua suka amat mbak mas ngegosip in orang, biar diundang ya diacara""tv kasihan katanya kayak, kayak apa mbk mas kayak sampah ya ngaca napa",bullying
cari panggung,bullying
Wwkwkkwk gpp guys mereka lg usaha keras. Tp sedih gak kak subcribernya segitu2 mulu? Kurang sampah mungkin kontennya?,bullying
"Hebat loh mereka ini, konsisten. Konsisten ngeyel dan ng tau malunya. Wkwkwk. Setelah berepisode episode bikin video ttg jurnalrisa, dgn segala cara, mulai dr bilang bohong, bawa ustadz, bawa pengacara, nyebut pendukung jurnalrisa ng logis, terakhir di video ini katanya pendukung jurnalrisa pendendam. Lucunya ng di-julidin cuek ajah. Eh ujung2nya di video ini bilang ""klo mw pembuktian makanya collab!""",bullying
Dua orang pembohong yang ingin pansos dengan cara yang bodoh,bullying
"Buat apah @risa_saraswati ngasih pembuktian k kalian gak perluu gak penting juga lah, masihh banyak urusan teh risa yg lebih berfaedah dr pd ngurusin orng lain 🙏🙏🙏",tidak bully
"istigfar ajadeh sama orng yg udah berkecukupan tp masih aja butuh adsense dengan pansos, ga ngeluarin karya tapi sensasi haha gara2 udah mulai tenggelem mulai ngebacot lagi deh pansosnya hihi, astagfirullah",bullying
Mulut Sampah Masyarakat-__-,bullying
Dasar gapunya hati,bullying
"kalo mau bikin konten yang kreatif lah njing, semuanya aja lu jatohin nanti di ujung yang lu gibahin semua itu ngumpul terus kalian di tuntut karena pencemaran nama baik. boomerang goblok buat kalian",bullying
Najisss gua mau nntonnya jugaa,bullying
"Kalo teh Risa boong mah ngapain sampe ngeluarin buku smaa film,mikir punya otak kan?",bullying
Belajar jadi konten kreator yang baik dulu gih mbak nya sama Raditya Dika😏,tidak bully
Gembel,bullying
Pansos kok bangga ewh,bullying
Pensos hahah kayaa iriii nii diaa wkwk kasian amatt😆,bullying
"REPORT AJA GUYS VIDEONYA DI YT, CUMA ACTING DAN NYIYIR DOANG DI VIDEONYA!!",bullying
enek banget najis wkwkk,bullying
Demi popularitas smpe merugikan pihak lain ckck #generasimicin,bullying
Halah kontol,bullying
"Jodoh emang yaa raja nyinyir dan ratu nyinyiirr, mau terkenal aja kudu nyinyir duluu mirisss anyingg",bullying
"Hahahaha guoblok,abs bacot minta maaf,buang ludah lu jilat lagi",bullying
Tetap semangat cik gisel.. Gbu🙏,tidak bully
"Nyesell we baca sampai akhir, mending td sampai tengah aja wkwkkw",tidak bully
"Besok klo gempi udh gede,baca caption mamanya ky gini. Auto ngamuk dia,klo ga di nasehati si wijen ga bakal dtg gitu?bucin amattt",bullying
Jijik maksimal,bullying
Anak sekecil itu didandanin layaknya umur 25taun situ sehat @gisel_la,bullying
dasar gisela gk ad urat kemaluan,bullying
Sama anak gak usah di jelasin panjang lebar. Emang udah seharusnya seorang ibu kayak gt ke anaknya. Buat apa coba di pamerin ke netizen??,bullying
Uncle J sering2 yaa nasehatin mamah biar mamah makin sayang n care sama empi,tidak bully
"Yaelah buk,itu udah kewajiban ibuk kalee",tidak bully
😍Kk Dan Gempi Zuksez Trus yha.,tidak bully
Ga pengen dibully tp captionnya suka mancing. Heran gak sih,tidak bully
Mau trima ksih sama wijin aja juga pake bawa bawa anak aneh 🤣🤣🤣,tidak bully
Udah bagus diatas kalimatnya eeeee ada yg bikin kzl dibawah ewwww,tidak bully
Itu dah bukan tugas lagi malah kewajiban sebagai seorang ibu..ngoyo kerja dan duit tidak akan bisa mengembalikan masa masa pertumbuhan anak mu...ingat kegandrungan jatuh cinta pada laki laki baru jangan sampai mengubah rasa dan tanggung jawab sebagai ibu untuk anak mu,tidak bully
Puber ke 2 ni ye,bullying
Enek gue.. baca akhirannya.. gitu amat🤣😂,bullying
Yg menarik itu justru baca komentar netijen yg lucu lucu 😂😂 hiburan bener deh 😂😂,tidak bully
Bully trus yeh ampe sadar haha klrga yg utuh sbgai ibu hrus bnyk berkorban bukan tergantikn dg orang baru yg ingin numpang tenar doanh,bullying
"Duh mbaknya.. Saya jd ikut gatel pgn koment dech! Gempi anaknya papa gading bukan sih @gisel_la !? Bpaknya siapa.. Yg di tag siapa 🙈 jaga perasaan dkit napa!! Itu caption jatuhnya bukan buat gempi, tapi intinya cm mau bilang trmaksih sm wijen aja. Abis ini dia nulis caption pnjg lebar lagi pasti buat netijen.. 😂😂😂",bullying
"Intinya bukan karena anak dia rela berangkat pagi2 ke airport, tapi karena nasehat pacarnya, yayayayaa",bullying
caption curhat,tidak bully
"Pengen muntah gw sm org satu ini, ga mutu... Abis sensasi mulu",bullying
"Halah, muak bgt asli",bullying
Ngakak baca komen komennya :) terbully lagi kan 😂,tidak bully
Selalu mencari sensasi ni orang,bullying
"Jd ini ucapan thanks bukan buat gempi tapi buat diri nya sendiri,team sama si ungle j okeh aku paham.. Hehehee",bullying
Aku jijik,bullying
Bucin,bullying
Aduh gempi cantik bgt pakai baju dayak.. Tapi rok nya itu kebalik mom @gisel_la mestinya ngikatnya kebelakang 😁,tidak bully
"Alayy lu,, 🙄🙄",bullying
"Gatel amat yah gisel, @gadiiing pasti bisa dpat yg lebih baik dr gisel",bullying
"Plisss dahh itu baru pacar baru looooo,sihh gempi butuh sosok papa bukan pacar mu looo",bullying
Hiyahiyahiyaaaaaa. Gimana ya rasanya dibully netizen se indonesia raya 😂😂😂,tidak bully
Lucu❤️,tidak bully
